Row,Name,Region,Scientific Name,Sun Exposure,Rating,Description,Color,Blooming Period,Fruit Characteristics,Height,Width,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements,Image,Type,Size
1570,Flowering Maples,3,Abutilon spp.,"['sun', 'partial sun', 'shade']",5,"Flowering Maples are so named due to the strong resemblence of the leaves to those of the true maples (Acer spp.). Attractive, often variegated, foliage and season long bell-shaped flowers are the principle assets. Hummingbirds love the flowers. Some species are native to or naturalized in the Rio Grande Valley; the Velvetleaf Mallow (Wissadula holosericeea) is a close relative found in the same region. Ultimate size and landscape use varies from a summer annual to a tropical tree depending upon the genotype and locale of growth.","{'red', 'pink', 'yellow', 'orange', 'white'}","{'fall', 'spring', 'summer', 'winter'}",FALSE,"[3, 20]","[3, 10]","Generally adaptable tropical shrub or small tree as long as the soil is not permanently wet. Can tolerate some soil salts, but intolerant of foliar salts. Tendency to become leggy. Susceptible to white fly, aphids, and several chewing insects.",1,1,1,1,1,http://ekps.tamu.edu//images/plants/abutilon.jpg,"['perennial', 'shrub', 'tree', 'interiorscape', 'annual', 'tropical']","['small', 'medium', 'large']"
1571,Petunia,3,Petunia x hybrida,"['sun', 'partial sun']",4.41,"Petunias are popular warm season annuals in northern climates and serve as reliable transition season annuals in much of Texas. Petunias can sometimes be planted and used as winter annuals in the southern half of Texas. Their value as bedding plants and hanging basket plants is unsurpassed. The sprawling vine-like stems form a spreading mound and the trumpet-shaped blossoms come in a huge range of colors, sizes, shapes, and fragrance levels.",set(),"{'fall', 'spring', 'winter'}",FALSE,"[0.5, 1.5]","[1, 3]",Most taxa of Petunias decline in Texas' summer heat; P. x hybrida 'Purple Wave' and some of the Petunia violacea selections can survive our summers if moisture is available on a well drained soil. Not everyone appreciates the musky fragrance of Petunias.,2,2,1,1,2,http://ekps.tamu.edu//images/plants/petuniah.jpg,"['vine', 'annual']","['small', 'medium']"
1572,Columbine,3,Aquilegia x hybrida,"['partial sun', 'shade']",4.41,The Garden Columbines are generally weak spring perennials or reseeding annuals that grow a small mound of attractive green to blue-green foliage in winter and early spring. Attractive spurred flowers of many colors are borne on stalks that arise several inches above the foliage from early to late spring. The foliage tends to die to the ground or the plant dies altogether during summer in Texas.,"{'red', 'pink', 'yellow', 'white', 'blue'}",{'spring'},FALSE,"[1, 3]","[1, 3]",Probably best thought of as a reseeding annual in much of Texas; Hinckley's Columbine (Aquilegia chrysantha var. hinckleyana) offers a more reliably perennial option. Leaf miners can be troublesome pests.,2,2,2,1,1,http://ekps.tamu.edu//images/plants/aquilegiaxhybrida.jpg,"['perennial', 'annual']",['small']
1573,Sweetbay Magnolia,3,Magnolia virginiana,"['sun', 'partial sun']",4.4,Magnolia virginiana is a highly variable species native to the Eastern USA. The species is very site responsive resulting in a range of plant sizes. The primary assets are the semi-evergreen foliage and sweet scented 2 inch to 3 inch diameter white flowers sporadically present from spring to frost. The plant's form is relatively open and airy compared to Magnolia grandiflora.,{'white'},"{'fall', 'spring', 'summer'}",TRUE,"[20, 80]","[15, 25]",Performs best when sited on moist well drained acidic soil. Can tolerate less perfect sites but growth will be substantially reduced and the foliage may become chlorotic on neutral soils. Best reserved for use in East Texas.,0,2,1,2,1,http://ekps.tamu.edu//images/plants/magnoliavirginiana7.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
1574,Water Oak,3,Quercus nigra,['sun'],4.4,"Water Oak is a medium to large deciduous tree native to East and Central Texas. It is sometimes planted as a street, shade, or park tree, but has a less desirable long-term presence in the landscape than many other oak species. Characteristic pyramidal growth form when young, rounded to upright rounded crown with age.",{'green'},{'spring'},TRUE,"[50, 70]","[40, 60]",Rather weak wooded for an oak; prone to heart rot and mistletoe infestations.,0,2,1,1,0,http://ekps.tamu.edu//images/plants/quercusnigra5.jpg,['tree'],"['medium', 'large']"
1575,Cast Iron Plant,3,Aspidistra elatior,"['partial sun', 'shade']",4.4,Cast Iron Plant is an extremely tough shade groundcover or interiorscape plant. The bold coarse textured 1 ft to 2 ft leaves arise directly from underground rhizomes. Very tropical in appearance.,{'brown'},"{'spring', 'summer'}",FALSE,"[1, 5]","[0, 20]","Very tough durable plant as long as it is not used in full sun. Can tolerate incredible levels of shading, hence useful in interiorscaping. Somewhat slow to cover, plant closely if a solid fill is needed soon after planting.",1,2,2,2,1,http://ekps.tamu.edu//images/plants/aspidist.jpg,"['perennial', 'groundcover', 'interiorscape', 'tropical']","['small', 'medium']"
1576,Tea Olive or False Holly,3,Osmanthus spp.,"['sun', 'partial sun']",4.4,"Osmanthus are medium shrubs to small trees with handsome evergreen foliage. On some species it resembles that of English Holly, hence the common name of False Holly. Another asset is the production of highly fragrant flowers, depending upon the species, from autumn to early spring when few other shrubs can provide fragrance in the landscape. These species perform best in the piney woods and southeastern US. Old specimens can be limbed up into handsome small trees, while younger plants make nice background screens.",{'white'},"{'fall', 'spring', 'winter'}",FALSE,"[8, 30]","[8, 15]",Becomes chlorotic on high pH soils and does not tolerant salt exposure nor drought.,1,2,2,1,0,http://ekps.tamu.edu//images/plants/osmanthusxfortunei.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
1577,English Walnut,3,Juglans regia,['sun'],4.4,English Walnut is a finer textured more spreading tree than our native Black Walnut. This is the source of most commercial walnuts sold in grocery stores. It is an important forest tree in Europe.,{'green'},{'spring'},TRUE,"[40, 100]","[40, 50]",Seldom encountered in the Southeastern and Southcentral US. Grown as a commercial nut crop in California where it is often grafted on a native understock species.,0,2,0,1,1,None,['tree'],"['medium', 'large']"
1578,Monkey Grass,3,Ophiopogon japonica,"['partial sun', 'shade']",4.4,"Clump forming ground cover spreading by rhizomes. Monkey Grass has narrow, grass-like leaves, but it is not a grass. More mat-forming in growth habit than Liriope spp. Valued as a shade groundcover.",{'white'},{'summer'},TRUE,"[0.16666666666666666, 1.0]","[0, 20]","With adequate water, it will survive in full sun in Texas, but looks much better if receiving at least afternoon shade. In full sun use Lioriope spp., in shade Ophiopogon spp.",1,2,2,1,0,http://ekps.tamu.edu//images/plants/ophiopogonjaponicum.jpg,"['perennial', 'groundcover', 'grass']","['small', 'medium']"
1579,Shumard Oak,3,Quercus shumardii,['sun'],4.4,"Shumard Oak is a good medium to large deciduous shade tree. Shumard Oak is a Texas native. This red oak offers good red fall color on some individuals in favorable years. With selection of adapted provenances, this is a durable landscape tree, with non-adapted provenances this species is prone to chlorosis and is short-lived. Consult a local nurseryman or extension personnel in your region.",{'green'},{'spring'},TRUE,"[50, 60]","[40, 50]",One of the best oaks for Texas landscapes with proper seed source selection.,0,2,1,1,0,http://ekps.tamu.edu//images/plants/quercusshumardiileaves.jpg,['tree'],"['medium', 'large']"
1580,Horsetail,3,Equisetum hyemale,"['sun', 'partial sun', 'shade']",4.4,"Horsetail is an ancient plant that is sometimes used in gardens for its bold vertical form and durability. Horsetails consist of medium to dark green sparsely branched round segmented stems. Suitable for water/bog gardens where the rhizomes are constrained, can serve as a tall groundcover on difficult sites.","{'brown', 'black'}","{'fall', 'spring', 'summer'}",TRUE,"[3, 9]","[0, 20]","Very tough durable plant capable of existing in almost any soil, standing water to urban droughty sites. Can become very invasive.",1,2,2,2,1,http://ekps.tamu.edu//images/plants/equisetu.jpg,"['perennial', 'groundcover']",['medium']
1581,Southern Magnolia,3,Magnolia grandiflora,"['sun', 'partial sun']",4.4,"Magnolia grandiflora is a classic southern tree. The magnificent fragrant 6 inch to 12 inch diameter white flowers are contrasted by the large coarse textured dark glossy green leaves. The crown is dense and pyramidal in youth, becoming more rounded with age. Open grown trees will retain old limbs to the ground unless pruned up to a desired height. The plant makes a classic specimen or large evergreen screen in Central and East Texas. Winter desiccation is a problem in the Panhandle.",{'white'},"{'spring', 'summer'}",TRUE,"[30, 60]","[20, 40]","Avoid dry windy locations. Sensitive to root zone compaction. Can tolerate seasonally poor drainage once established. Tends to be a messy tree, droppping leaves, flowers, and fruit.",1,2,2,2,1,http://ekps.tamu.edu//images/plants/magnolgr.jpg,['tree'],"['medium', 'large']"
1582,Loblolly Pine,3,Pinus taeda,['sun'],4.4,"Loblolly Pine is probably the most commonly encountered of the ""Southern Yellow Pines"". It forms extensive forests and is widely planted throughout the Southeastern USA including much of east Texas and isolated locations in central Texas. This rapid growing coarse textured coniferous tree is important in the timber and landscape industries. Use of Loblolly Pine creates a look that tends to grow on you over time.",set(),{'spring'},TRUE,"[50, 100]","[20, 30]","Can tolerate neutral pH sites, but tends to be less vigorous and shorter lived there developing foliar chlorosis. Less tolerant of high pH soils and poor drainage than Pinus elliottii (Slash Pine). Fusiform rust, pine tip moth, and pine bark beetles can all be limiting factors in the landscape. Obtain more adapted cold hardy provenances if utilizing Pinus taeda in USDA zone 6.",0,2,1,1,0,http://ekps.tamu.edu//images/plants/pinustaedacones.jpg,['tree'],"['medium', 'large']"
1583,Quaking Aspen,3,Populus tremuloides,['sun'],4.4,"Quaking Aspen is a medium to large deciduous uprigh oval crown tree that suckers to form large colonies in cold portions of North America. This species is also found at very high elevations in warmer regions, such as West Texas and New Mexico. In regions where it can be grown it has beautiful whitish bark, trembling dark glossy green leaves, and can develop outstanding yellow fall color. It is very important ecologically in its native range.",{'green'},{'spring'},FALSE,"[30, 90]","[20, 50]","It only grows well in very high elevation sites in our region as it is intolerant of heat, suffering even in USDA zone 7.",0,1,2,1,0,http://ekps.tamu.edu//images/plants/populustremuloides2.jpg,['tree'],"['medium', 'large']"
1584,Coconut Palm,3,Cocos nucifera,['sun'],4.4,"Coconut Palms are the ultimate symbol in tropical landscaping and constitute the most commerically important species of palms world-wide. Unfortunately, Coconut Palms are injured by even brief exposures to freezing temperatures and are generally not effective in Texas landscapes.",set(),"{'spring', 'summer'}",TRUE,"[50, 100]","[1, 15]","Valued for its durability and tolerance to salt spray and soil salts. Seeds can float in the ocean for months before germinating when washed on shore. Unfortunately, Coconut Palms are very susceptible to lethal yellows disease.",2,2,2,1,1,http://ekps.tamu.edu//images/plants/cocosnuncifera.jpg,"['tree', 'tropical']","['medium', 'large']"
1585,Elephant's Ear,3,Colocasia esculenta,"['sun', 'partial sun', 'shade']",4.4,"Elephant's Ear derives its name from the resemblence in shape between the huge cordate leaves and the outline of an elephant's ear. Old-fashioned, but popular plant for adding a tropical flare to the landscape. The large leaves arise directly from the tuberous trunkless crown of the plant.",set(),"{'spring', 'summer'}",FALSE,"[4, 6]","[4, 6]","Best on a moist acidic soil, can tolerate most soils and sun exposure as long as addequate moisture and fertility are available.",1,2,2,2,1,http://ekps.tamu.edu//images/plants/colocasi.jpg,"['perennial', 'annual', 'tropical']",['large']
1587,Common Sassafras,3,Sassafras albidum,"['sun', 'partial sun']",4.4,"Common Sassafras is a medium to large shade tree native to Eastern North America including prtions of East and Central Texas. The aromatic leaves are a blue-green to green color in summer and turn beautiful reds, yellows, and oranges in the fall. Trees often sucker to form colonies.","{'yellow', 'green'}",{'spring'},TRUE,"[30, 60]","[30, 50]","A tough tree once established, but a coarse root system inhibits successful transplanting. The roots are sometimes used to make sassafras tea, which is reportedly carcinogenic. The fruit, fall color, corky bark, and sympodial branching structure can be ornamental.",0,2,1,1,0,http://ekps.tamu.edu//images/plants/sassafrasalbidum.jpg,['tree'],"['medium', 'large']"
1588,American Holly,3,Ilex opaca,"['sun', 'partial sun']",4.4,"Largest of the evergreen hollies generally used in Texas landscapes. Native to the Eastern USA, this is one of the most cold tolerant of the evergreen hollies, hardy into USDA zone 5 with protection. The foliage of the species is an attractive, but duller green than some of the improved cultivars. The form is pyramidal in youth, broadening to an oval with age.",{'green'},{'spring'},TRUE,"[25, 50]","[15, 20]","Generally a tough holly, but tends to suffer in our South Texas heat and high pH soils. Holly leaf miners (Phytomyza ilicicola) can disfigure the foliage.",0,2,1,1,0,http://ekps.tamu.edu//images/plants/ilexopaca1.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
1589,Coleus or Painted Nettle,3,Coleus x hybridus (Solenostemon scutellariodes),"['sun', 'partial sun', 'shade']",4.4,"Coleus is a tropical plant grown as a summer annual for its variously colored foliage. Foliage colors range from green, to bronze, pink, white, yellow-green, to red. The small blue to white Salvia-like flowers are borne on terminal spikes, but are a neutral to negative effect ornamentally. Most cultivars are adapted to shade conditions; only 'Burgundy Sun' and 'Plum Parfait' have proven adapted to full sun in Texas.","{'blue', 'white'}","{'fall', 'summer'}",FALSE,"[1, 3]","[1, 3]","Coleus perform best in moist well drained acidic soil in shaded locations, but can adapt to lesser sites. Heat but not particularly drought tolerant; moderately salt tolerant.",2,2,2,1,1,http://ekps.tamu.edu//images/plants/coleusxh.jpg,"['perennial', 'annual', 'tropical']",['small']
1591,Witchhazels,3,Hamamelis spp.,"['sun', 'partial sun']",4.2,"Witchhazels are medium deciduous shrubs to small trees with handsome summer leaves, good fall color, and fragrant off-season flowers. Depending upon the species or hybrid chosen, plants can be selected that flower from fall to early spring. They are suitable for use as seasonal screens, hedges, limbed up small trees, naturalizing, or as foundation plants for large structures.","{'red', 'yellow', 'orange'}","{'fall', 'spring', 'winter'}",TRUE,"[8, 25]","[8, 12]",Naturally a woodland edge species; performs much better in East Texas than Central or West Texas; not salt tolerant.,1,2,1,1,1,http://ekps.tamu.edu//images/plants/hamamelisvirginiana2.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
1592,American Beech,3,Fagus grandifolia,"['sun', 'partial sun', 'shade']",4.2,American Beech is a very slow growing medium to large deciduous upright rounded crown tree of the eastern North American climax forest. Handsome dark glossy leaves turn tan to brown in fall and are retained on juvenile portions of the crown. Smooth light gray bark is a signature feature. Old trees provide habitat as well as beechnuts for fildlife.,{'green'},{'spring'},TRUE,"[60, 120]","[50, 100]","The thin bark is easily damaged. Intolerant of soil compaction or root disturbance. Trees tend to sucker from the roots. Due to slow growth, it is for enjoyment by our grandchildren when planted.",1,2,1,1,1,http://ekps.tamu.edu//images/plants/fagusgrandifolia2.jpg,['tree'],"['medium', 'large']"
1593,Weeping Fig,3,Ficus benjamina,"['sun', 'partial sun', 'shade']",4.2,Weeping Fig is one of our most popular interiorscape trees and is widely used in tropical  landscapes. The pendent bright green leaves and arching branches are the key attraction and the tree can grow with relatively low light levels. Can be used as a patio plant or planted as a summer annual to achieve a tropical effect.,set(),"{'fall', 'spring', 'summer', 'winter'}",FALSE,"[30, 50]","[30, 50]","Very durable interiorscape plant as long as cold drafts are avoided and at least minimal light levels are provided. Tends to drop its leaves and  refoliate in the new environment when moved; pick a spot and leave in place. Can become a weed problem in tropics. The sap can cause fig dermatitis in some individuals, avoid contact when pruning.",1,1,2,1,1,http://ekps.tamu.edu//images/plants/ficusbenjamina.jpg,"['tree', 'interiorscape', 'annual', 'tropical']","['medium', 'large']"
1594,Gardenia,3,Gardenia augusta,"['partial sun', 'shade']",4.2,"Gardenia is a classic small to medium size broad-leaved evergreen shrub. The 2 inch to 3 inch diameter fragrant white flowers show well against the dark glosy green foliage in late spring to early summer. These southern shrubs work best where they receive morning sun to day long part shade. Plants grow best in similar conditions as Rhododendrons, Azaleas, and Camellias.",set(),set(),TRUE,"[0, 20]","[0, 20]","Gardenia tends to suffer when sited where they are exposed to afternoon sun unless soil and moisture conditions are very favorable. Nematodes, sandy soils, canker, aphids, scale insects, mealybugs, and spider mites can all be problems.",1,1,2,1,1,http://ekps.tamu.edu//images/plants/gardeniaaugusta2.jpg,"['groundcover', 'shrub']","['small', 'medium']"
1595,"Gladiola, Glads, or Sword Lily",3,Gladiolus x hortulanus,['sun'],4.2,"Glads are popular florist flowers that are also included in home gardens, typically for cut flowers. Scant sword-like foliage and a tall one-sided flower spike arise from a corm. Often lifted as summer corm that is overwintered in cold storage/root cellars  in northern climates.",set(),"{'fall', 'spring', 'summer'}",FALSE,"[1, 5]","[1, 6]",Hybridized to the nth degree; other species types are frequently more cold hardy than G. x hortulanus. Plant at two or three week intervals to extend the bloom season.,0,1,1,1,1,http://ekps.tamu.edu//images/plants/gladiolusxhortulanus.jpg,"['perennial', 'annual']","['small', 'medium']"
1596,Flowering Crabapples,3,Malus spp.,['sun'],4.2,"Flowering Crabapples are one of America's favorite small to medium size flowering trees for cooler portions of the country. All have pretty white, pink, to dark rose spring flowers. Some cultivars have attractive yellow, orange, to red fruit. Some clones have good yellow, orange, to red fall color. Growth habit range from narrowly upright, rounded, spreading ovals, to weeping forms.","{'white', 'pink'}",{'spring'},TRUE,"[6, 30]","[6, 30]","A wonderful tree for cooler climates, but most tend to suffer in all but northern portions of Texas; inaddequate chilling is a problems for some clones; susceptible to several disease and insect pests including cotton root rot, apple scab, cedar apple rust, fireblight, borers, aphids, and scale.",0,1,1,1,1,http://ekps.tamu.edu//images/plants/malussp3.jpg,['tree'],"['small', 'medium']"
1597,Common Smokebush,3,Cotinus coggygria,"['sun', 'partial sun']",4.2,"Common Smokebush is a popular deciduous large shrub to small tree. Foliage ranges from blue-green to bronze with a carrot-like scent when crushed. Fall color is variable from a dull yellow to a vibrant red. Showy creamy white to purple-pink pedicels and peduncles are the showy portion of the flowers, creating a smokey wreath around the upper canopy.","{'pink', 'white', 'yellow', 'green'}","{'spring', 'summer'}",FALSE,"[12, 18]","[8, 15]",Needs well drained soils; cotton root rot and scale are occasional problems.,0,1,1,1,1,http://ekps.tamu.edu//images/plants/cotinuscoggygria.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
1598,Euryops Daisy,3,Euryops pectinatus,"['sun', 'partial sun']",4.2,Euryops Daisies make excellent patio container plants in the northern two-thirds of Texas and a small evergreen shrub or subshrub in South Texas. The dark green to gray-green foliage acts as a foil for the outstanding bright yellow daisy-like flowers. Peak bloom is from fall through spring.,{'yellow'},"{'fall', 'spring', 'summer', 'winter'}",FALSE,"[2, 3]","[2, 3]","Limitedly cold hardy into USDA zone 8. Flowering is reduced in the heat of summer, but picks back up in the autumn months. Somewhat difficult to transplant once established.",1,2,1,1,1,http://ekps.tamu.edu//images/plants/euryopspectinatus.jpg,"['shrub', 'annual', 'tropical']",['small']
1599,Paper Birch,3,Betula papyrifera,['sun'],4.2,"Paper Birch is an attractive medium to large shade tree in colder regions of North America where it is valued for its chalky white bark and yellow fall color. In its native range it is an important timber tree. Unfortunately, it is sometimes sold in Texas where it is very poorly adapted. This species is highly susceptible to the bronze birch borer when grown south of its native range.","{'yellow', 'green', 'brown'}",{'spring'},TRUE,"[50, 120]","[25, 40]",Should generally not be planted in Texas nor other regions of the Deep South.,0,1,1,1,1,http://ekps.tamu.edu//images/plants/betulapapyrifera3.jpg,['tree'],"['medium', 'large']"
1600,River Birch,3,Betula nigra,['sun'],4.2,River Birch is a medium to large size deciduous shade tree with outstanding peeling cinnamon colored bark. The fine textured foliage can turn a good yellow in autumn and the pyramidal growth form is graceful in youth.,"{'green', 'brown'}",{'spring'},TRUE,"[40, 90]","[20, 30]",River Birch is the only available birch species suitable for wide-spread use in Texas; tends to become chlorotic on neutral to high pH soils; moderately resistant to bronze birch borer.,0,1,1,1,1,http://ekps.tamu.edu//images/plants/betulani.jpg,['tree'],"['medium', 'large']"
1601,Pin Oak,3,Quercus palustris,['sun'],4.2,Pin Oak is a large deciduous red oak that is one of the most widely planted oaks in the US nursery trade. Suitable for use only in Northeast Texas where soils are acidic and plants receive sufficient chilling. Frequently planted on neutral and alkaline soils resulting in classic examples of Fe chlorosis.,{'green'},{'spring'},TRUE,"[60, 80]","[35, 50]","Frequently planted street tree that due to swooping lower branches requires constant ""limbing up"".",1,2,1,1,1,http://ekps.tamu.edu//images/plants/quercuspalustris4.jpg,['tree'],"['medium', 'large']"
1602,Waxleaf Begonia,3,Begonia semperflorens-cultorum,"['sun', 'partial sun', 'shade']",4.2,Waxleaf Begonia is a premier bedding and detail plant for Texas landscapes. The newer more heat tolerant cultivars have permitted use of this attractive bedding plant in sun or shade. Darker red or bronze leaf cultivars are more sun tolerant than the green leaf forms. Waxleaf Begonias make excellent container or hanging basket plants.,"{'red', 'white', 'pink'}","{'fall', 'spring', 'summer'}",FALSE,"[0.5, 1.0]","[0.5, 1.0]","Requires a well drained soil and regular irrigation, but newer cultivars are heat tolerant. May over-winter during mild years in USDA zones 8 and warmer.",1,1,2,1,1,http://ekps.tamu.edu//images/plants/begonias.jpg,['annual'],"['small', 'medium']"
1603,Maki or Japanese Yew,3,Podocarpus macrophyllus var. maki,"['sun', 'partial sun', 'shade']",3.6,"Slow growing conifer that can eventually reach small tree stature, but makes an attractive shrub. Japanese Yew is valued for its dark evergreen foliage that resembles that of a yew (Taxus spp.). The crown is a narrow upright oval.",set(),{'spring'},TRUE,"[5, 25]","[5, 10]",Soil adaptable as long as it is well drained. Tolerant of salty irrigation water and can be used in coastal landscapes. Bark is mildly attractive on older specimens. Suitable for interiorscape use in high light locations.,0,2,2,2,1,http://ekps.tamu.edu//images/plants/podocarpusmacrophyllusvarmaki6.jpg,"['shrub', 'tree', 'interiorscape']","['small', 'medium', 'large']"
1604,English Holly,3,Ilex aquifolium,"['sun', 'partial sun']",3.6,Ilex aquifolium is the classic Christmas holly grown for florist's arrangements and seasonal decoration. It has perhaps the most attractive dark glossy green foliage and bright red berries of any Ilex spp. English Holly is also available in yellow and white variegated leaf forms and with yellow berries on some female clones. English Holly is generally poorly adapted to Texas landscapes.,{'green'},{'spring'},TRUE,"[8, 50]","[4, 8]","In an effort to extend the useful range of this species, efforts at grafting on species with better tolerance to Texas conditions is being tried. Trials are not yet old enough to yield useful data.",0,2,2,2,1,http://ekps.tamu.edu//images/plants/ilexaquifolium2.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
1605,Blue Colorado Spruce,3,Picea pungens f. glauca,['sun'],3.6,"A medium size tree for use in the Texas Panhandle, but can develop into a large tree in more favorable regions of the country. Valued for its tolerance to adverse sites, its conical green to blue-green canopy, and formal appearance in youth. Tends to be difficult to tastefully work into many modern landscapes. Drooping of lower branches tend to lessen the formal effectiveness of this taxa in middle age.","{'red', 'brown'}",{'spring'},TRUE,"[25, 150]","[10, 15]","Tough tree, one of the few confirs suitable for use on the High Plains and Panhandle. Seldom useful elsewhere in the state. Provide protection from wind and irrigation during droughts. Spide mites, spruce budworm, spruce gall aphid, and Cytospora cancer can be troublesome.",0,2,2,1,0,http://ekps.tamu.edu//images/plants/piceapungens4.jpg,"['shrub', 'tree']","['medium', 'large']"
1606,European Beech,3,Fagus sylvatica,"['sun', 'partial sun', 'shade']",3.6,"European Beech is the old world counterpart to the American Beech and is very similar in most respects. A wider range of cultivars, including those with bronze or cutleaf foliage or weeping or contorted growth habits.",{'green'},{'spring'},TRUE,"[50, 60]","[40, 60]","Generally more tolerant of high pH soils than most ecotypes of American Beech, but not heat tolerant. Usefull only in the extreme Northeastern portions of our region.",0,2,2,2,1,http://ekps.tamu.edu//images/plants/fagussylvaticaasplenifolia.jpg,['tree'],"['medium', 'large']"
1607,Saucer Magnolia,3,Magnolia x soulangiana,"['sun', 'partial sun']",3.6,Saucer Magnolia is a large coarse textured deciduous shrub to small tree. The crown is rounded at maturity. The species is primarily planted for its spectacular display of saucer-shaped purple-pink and white flowers in early spring prior to refoliation.,"{'white', 'pink'}",{'spring'},FALSE,"[15, 30]","[15, 20]","One of the more tolerant Magnolia species. Proned to chlorosis on high pH soils. Early spring flowers are often damaged by spring frosts. Spectacular in flower, so-so the rest of the year. Tends to receive inadequate chilling in USDA zones 8b & 9.",0,2,2,2,1,http://ekps.tamu.edu//images/plants/magnoliaxsoulangiana2.jpg,"['shrub', 'tree']","['small', 'large']"
1608,Tropical Hibiscus,3,Hibiscus rosa-sinensis,"['sun', 'partial sun']",3.6,Tropical Hibiscus are medium to large evergreen shrubs used as patio container plants or in the warmer portions of the state as landscape shrubs. The dark rubbery textured ovate-rhomibic leaves set off the large mallow-like blooms. Flower colors are available in nearly every color of the rainbow.,"{'red', 'pink', 'yellow', 'orange'}","{'fall', 'spring', 'summer'}",FALSE,"[3, 10]","[2, 8]","Tends to require high rates of N fertilization. Tends to abort flower buds in response to environmental stresses resulting in less flowers than perhaps most people imagine. Susceptible to a number of disease and pest problems, particularly white fly, aphids, and spider mites. Cold damage is common in USDA zone 9.",2,1,2,0,2,http://ekps.tamu.edu//images/plants/hibiscusrosa-sinensis7.jpg,"['shrub', 'interiorscape', 'annual', 'tropical']","['medium', 'large']"
1609,Sugar Maple,3,Acer saccharum,"['sun', 'partial sun']",3.4,"Sugar Maple is a large tree from the Eastern and Central portions of the United States and Canada. Once the source of sap for maple syrup production, these stately trees are valued for their handsome foliage and potentially vivid fall colors. This is the classic tree contributing to New England's picturesque falls. The species performs best in our region in NE Texas.","{'yellow', 'green'}",{'spring'},TRUE,"[60, 120]","[40, 70]",Use regional provenances. Avoid root compaction and poorly drained sites. Best in a wooded or park-like setting.,0,2,1,1,1,http://ekps.tamu.edu//images/plants/acersaccharum.jpg,['tree'],"['medium', 'large']"
1610,Giant Sequoia,3,Sequoiadendron giganteum,"['sun', 'partial sun']",3.4,"Giant Sequoia is among the world's largest and oldest living organisms. Trees can grow to 325 ft tall and with trunks wide enough to make a tunnel and drive a car through it. This species from high elevations in the interior mountains in California can be grown in the Eastern U.S., including Northeast Texas, but do not approach a size anywhere near that in their native land. It also can be grown in some European landscapes. Although not quite as tall as Sequoia sempervirens, Sequoiadendron giganteum is much more massive of trunk and the foliage is more like that of Juniperus spp. than that of S. sempervirens. Giant Sequoia is more cold hardy and can tolerate drier atmospheric conditions than Coast Redwood, but Giant Sequoia does not perform well in hot sweltering summers. Dwarf cultivars are sometimes used in rock gardens.",set(),{'spring'},TRUE,"[325, 325]","[0, 20]","Old growth forests of this species are national and world treasures. Some native American tribes wisely considered this species sacred, perhaps we should honor their wishes. Some living Giant Sequoia trees were already old in biblical times.",0,2,1,1,1,http://ekps.tamu.edu//images/plants/sequoiadendrongiganteum9.jpg,['tree'],"['medium', 'large']"
1611,Northern Red Oak,3,Quercus rubra,['sun'],3.4,"Northern Red Oak is the cooler climate counterpart to the Southern Red Oak and is an important component of planted and native landscapes in the Midwest and Northeastern US. In addition to being an important shade tree, this species is planted for timber and wildlife habitat.","{'yellow', 'green'}",{'spring'},TRUE,"[60, 120]","[50, 70]",Inaddequate winter chilling and summer heat become limiting in all but the northern portions of our region.,0,2,1,1,1,http://ekps.tamu.edu//images/plants/quercusrubra6.jpg,['tree'],"['medium', 'large']"
1612,Dawn Redwood,3,Metasequoia glyptostroboides,"['sun', 'partial sun']",3.4,"Dawn Redwood was known only from the fossil record until the 1940s when a botanist discovered extant specimens in a remote valley in China. Since then this deciduous conifer, a close relative of Taxodium distichum, has become a popular landscape tree in mesic temperate zone landscapes throughout the world. It has a broadly pyramidal outline, retains lower limbs and develops a fluted trunk around them with shaggy bark, and has slightly larger needles than Baldcypress which then turn a russet color in fall. This tree is a rapid grower, but it is drought intolerant.",set(),{'spring'},TRUE,"[60, 100]","[20, 35]","Trees need shielding from the afternoon sun and drying winds in zone 9. Not well adapted to droughty, hot climates with low relative humidity.",0,2,1,1,1,http://ekps.tamu.edu//images/plants/metasequoiaglyptostroboides7.jpg,['tree'],"['medium', 'large']"
1613,Sasanqua Camellia,3,Camellia sasanqua,"['sun', 'partial sun']",3.4,Sasanqua Camellia is a medium to large evergreen shrub with a rounded spreading to ovate habit. Attractive fall to mid-winter blossoms contrast nicely with the dark glossy green foliage. Generally a more refined shurb than Camellia japonica.,"{'red', 'white', 'pink'}","{'fall', 'winter'}",FALSE,"[6, 20]","[6, 8]","Tolerates a range of light exposures, but tends to scorch in full sun and become open with poor bloom in dense shade. Generally requires similar conditions as Rhododendron spp.",0,1,2,1,1,http://ekps.tamu.edu//images/plants/camelliajaponica4pg.jpg,"['shrub', 'tree']","['small', 'medium', 'large']"
