Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
Kentucky Coffee Tree,2,Gymnocladus dioicus,sun,0,This is a large coarse textured tree native to the Eastern US. This tough tree has large 1 ft to 2 ft long bipinnately compound dark green leaves and interesting platy bark on old trees.,"Tree, medium tree, large tree","Dioecious, dull whitish green, fragrant, not ornamental",Spring,Fat stout lima-bean like almost woody 4 inch to 6 inch long pods containing fat button-like hard seeds.,600,600,8,"Valued for rugged consitution, but trees languish in the heat of USDA zone 8b. Parts of the pods are reportedly poisonous. Can be stark of form to a fault.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Yellow Bells or Esperanza,2,Tecoma stans var. angustata,"sun, partial sun",0,"Yellow Bells is a native Texas deciduous suckering shrub, subshrub, herbaceous perennial, or annual depending on the portion of the state in which it is grown. Despite rather narrow leaflets, the overall form of the shrub is somewhat coarse and ratty. The yellow flowers that occur sporadically from late spring to frost are its best attribute. Periodic pruning to maintain canopy structure is adviseable.","Warm season annual, shrub, small shrub, medium shrub, tropical","Bright yellow trumpet-shaped flowers, spring to frost","Spring, summer, fall",Woody two-valved greenbean-shaped capsule,54,54,10,Very tough durable heat and drought tolerant shrub; soil adaptable as long as well drained. More cold hardy than the species type.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Tree-Of-Heaven,2,Ailanthus altissima,"sun, partial sun",0,"Despite its heavenly name this species is anything but devine. This is a very weedy species with little redeeming landscape value. It is the tree everyone loves to hate. Potentially a large coarse textured deciduous tree, plants often break up before reaching their potential. This species is very weak wooded, messy, and spreads rapidly by seed and suckers to form colonies in disturbed sites. Tree-Of-Heaven is widely naturalized in many locations in North America. A very adaptive plant on a wide range of sites, very tolerant of urban conditions. Male flowers are malodorous. Female trees produce noticeable if not showy fruit. Fall colors are ineffectual. To be fair, the foliage is sort of tropical looking and the old bark is a handsome silver-grey color with the texture of elephant hide.","Tree, medium tree, large tree",Terminal panicles of yellowish green dioecious flowers,"Spring, summer","Prominent terminal panicles of twisted samaras, some individual clones developing good red-orange coloration",540,360,7,Verticillium wilt and wind damage can be problems. This tends to be a short-lived trashy tree suitable for intentional plantings only on the worst of sites.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Little Bluestem,2,Schizachyrium scoparium,"sun, partial sun",0,"Little Bluestem is one of the most widespread and recognizable of our native U.S. wild grasses. This medium size erect clump-forming grass is valued for its outstanding green to blue-green summer foliage which is followed in autumn by rich browns, often flushed orange, red or bronzish purple. The flowering and fruiting effects are secondary on this species to its handsome foliage colors. Plants are adapted to a range of exposures and sites as long as they are mostly sunny and the soils are well drained. This species is found throughout Central and Eastern North America. It is becoming more popular in cultivated gardens and as always is a first rate naturalizing plant for meadows, wildscapes, and transition landscapes.","Perennial, groundcover, grasses",Off white to dirty white; in sparse loose irregular short racemets off the central axis of the flower stalk.,"Summer, fall",Awned seeds resulting in fluffy gray-white to silvery racemes widely spaced on the central axis.,30,27,None,"Where well adapted, plants may reseed. Avoid mowing or over grazing as all that is required is removal of old foliage prior to spring growth to keep plants neat.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Eastern Redbud,2,Cercis canadensis var. canadensis,sun,0,"Eastern Redbud is a popular small deciduous ornamental tree. The leaves are cordate (heart-shaped) to reniform (kidney-shaped). The primary feature is the early spring pink-purple to dark rose-purple, or occasionally white flowers. Native to eastern portions of Texas, but use of the varieties C. canadensis var. texensis (Texas Redbud) or C. canadensis var. mexicana (Mexican Redbud) is recommended for central and western portions of the state.",Small tree,"Pink-purple, rose-purple, or white",Spring,Small flattened pods with small flat brown seeds.,210,210,7,Not as drought nor high pH soil tolerant as the Texas or Mexican Redbuds; susceptible to Botryosphaeria canker and Verticillium wilt.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Common Douglasfir,2,Pseudotsuga menziesii,sun,0,"Actually a native Texas tree, but only to high elevation locales in the Guadelupe and Chisos Mountains. Useful only in similar environments in high elevation West Texas gardens. A common landscape plant in the western USA, and to a more limited extent in the Midwest and Northeastern USA. One of our most important western timber species. Where adapted douglasfir also makes a handsome conical evergreen tree with aromatic needles of medium to dark green or blue-green color.","Upright conifer, tree, medium tree, large tree",Not ornamental,Spring,Small woody cones,300,96,7,"The Rocky Mountain Douglasfir (Pseudotsuga menziesii var. glauca) is smaller, more drought and cold tolerant, and tends to have blue-green needles compared to the Coastal Douglasfir (Pseudotsuga menziesii var. menziesii).",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Japanese Zelkova,2,Zelkova serrata,sun,0,"Japanese Zelkova is a medium size tree that may be a viable substitute for American Elm (Ulmus americana) if a vase shape is desired. The short stalky trunk has flaky exfoliating orange-brown bark that is ornamental. Information on the species' use in Texas is limited, but it appears to have potential.","Medium tree, large tree",Not ornamental,Spring,Inconspicuous,330,540,8,"Bark is remeniscent of that of Ulmus parvifolia, but is not as aesthetically effective; resistant to most pests and diseases of Ulmus spp.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Firecracker or Spicy Jatropha,2,Jatropha integerrima,"sun, partial sun",0,Spicy Jatropha is a large multiple stemmed tropical shrub or small tree with dark glossy green lobed leaves and clusters of lipstick red to pink flowers held above the foliage. Flowering occurs throughout the summer and this species is very drought tolerant. Spicy Jatropha is an outstanding tropical annual for use in full sun to partly shady locations.,"Annual, shrub, medium shrub, large shrub, tree, small tree, tropical",Perfect lipstick red to pink flowers in small erect clusters above the foliage.,"Spring, summer, fall",Three-valved ovoid capsules; poisonous.,96,96,8,Plants are hardy in protected locations of USDA zone 9; salt and drought tolerant; spider mites and scale insects may be occasional problems.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Flowering Maples,2,Abutilon spp.,"sun, partial sun, shade",0,"Flowering Maples are so named due to the strong resemblence of the leaves to those of the true maples (Acer spp.). Attractive, often variegated, foliage and season long bell-shaped flowers are the principle assets. Hummingbirds love the flowers. Some species are native to or naturalized in the Rio Grande Valley; the Velvetleaf Mallow (Wissadula holosericeea) is a close relative found in the same region. Ultimate size and landscape use varies from a summer annual to a tropical tree depending upon the genotype and locale of growth.","Warm season annual, perennial, small shrub, medium shrub, large shrub, small tree, tropical, interiorscape","Yellow, orange, pink, red, or sometimes white","Spring, summer, fall, winter","Schizocarp, not ornamental",42,78,None,"Generally adaptable tropical shrub or small tree as long as the soil is not permanently wet. Can tolerate some soil salts, but intolerant of foliar salts. Tendency to become leggy. Susceptible to white fly, aphids, and several chewing insects.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Jacaranda,2,Jacaranda mimosifolia,"sun, partial sun",0,Jacaranda is a tropical/subtropical tree with an uright oval to rounded crown atop a crooked trunk or multiple trunks. The fine-textured bipinnately compound leaves and huge terminal panicles of trumpet to bell-shaped blue-purple spring to early summer flowers.,"Tree, small tree, medium tree, tropical","Showy 8 inch to 10 inch terminal panicles of trumpet to bell-shaped light lavenderblue to purple-blue, or rarely white, flowers.","Spring, summer",Orbicular 2 inch wide mahogany to black dehiscent disk-like capsules.,360,360,8,Hardy only in USDA zone 9. The thin barked trees are prone to damage from lawnmowers and weed eaters; grafted plants from mature trees will ensure timely flowering.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Sweet Acacia,2,Acacia farnesiana,sun,0,"Sweet Acacia is a small vase-shaped tree native to  South Texas and Mexico. The semi-evergreen fine textured foliage, fragrant yellow spring flowers, and tenacity in harsh environments are assets. The twin thorns at nodes and on older branches make it a rancher's nightmare. Suitable as an accent tree or for naturalizing in the Southern third of Texas.","Small tree, tropical",Bright yellow to golden yellow powder puff of stamens,"Spring, winter","Pod, not ornamental",100,270,9,"Extremely durable plant, adapted to most soils as long as they are well drained. Flowering is impaired by cold harsh winters in zone 8. Somewhat difficult to transplant. Can be invasive.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Catclaw Acacia,2,Acacia greggii,sun,0,"Catclaw Acacia earns its name from the wickedly recurved thorns present at the nodes. Aside from the thorns, Catclaw Acacia forms an attractive large shrub to small tree that is well adapted to the rigors of West and South Texas life. The creamy white flowers peak in spring followed by sporadic flushes throughout the summer and early fall. Can be sheared as a large seasonal screen or barrier hedge.","Large shrub, small tree","White to creamy white, conical bottlebrush shape","Spring, summer, fall","Twisted flattened pods, red-brown, mildly interesting",300,210,7,Catclaw Acacia is tolerant of most any well drained soil and can handle extreme heat and drought.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Fern Acacia,2,Acacia hirta,"sun, partial sun",0,Fern Acacia is a fine textured aggressive Texas native rhizotomous subshrub or herbaceous perennial. The dark green foliage and sporadically borne small white powder puff flowers add season long interest. Can be used as a understory plant at woodland's edge or as a soil stabilizer or groundcover in sunnier locations. Ammenable to cultivation but effective in naturalized landscapes. Lack of thorns makes this one of the more attractive acacias for the landscape.,"Perennial, small shrub","White, small powderpuffs of showy stamens","Spring, summer, fall","Small pods, not ornamental",14,0,None,Underutilized for difficult low maintenance or naturalized sites. Tends to be overly aggressive in more formal landscapes.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Bougainvillea Goldenraintree or Chinese Flame Tree,2,Koelreuteria bipinnata,sun,0,"Bougainvillea Goldenraintree is a showy small to medium size deciduous shade tree for warm temperate to subtropical climates. It is similar to Koelreuteria paniculata (Panicled Goldenraintree) except that it is more upright oval in form, less cold hardy, more heat tolerant,  requires less winter chilling, and is more showy in flower and fruit.","Small tree, medium tree",Large yellow terminal panicles in summer,Summer,"Showy papery capsules, light green, pink, tan, and then brown",360,300,8,Most serious problem is limited cold hardiness in Central and North Texas; form is less uniform and pleasing than with K. paniculata; tends to be weedy.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Flame-Of-The-Woods,2,Ixora coccinea,"sun, partial sun",0,"Flame-Of-The-Woods is a small to medium size evergreen shrub with 2 inch to 5 inch diameter terminal corybose cymes of perfect four-petaled flowers that bloom throughout the year in tropical regions. Plants are sometimes used as seasonal accents in summer. In tropical climates they are used as hedges, massing, and as facers for larger shrubs and trees.","Annual, shrub, small shrub, medium shrub, tropical","White, yellow, orange, salmon, pink or red.","Spring, summer, fall","Small drupes, red ripening to black.",8,54,6,Avoid poorly drained or alkaline soils.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Beach Morning Glory,2,Ipomoea stolonifera,sun,0,"Beach Morning Glory is a ground-hugging stoloniferous vine important for dune stablization on Texas coasts. Ipomoea stolonifera forms a denser mat, has smaller more leathery leaves, and white versus pink or purple flowers compared to I. pes-caprae (Fiddleleaf Morning Glory). Useful as a groundcover or for dune reclamation in coastal Texas landscapes.","Perennial, groundcover, tropical, vine",White funnel or trumpet-shaped.,"Spring, summer, fall","Dehiscent capsule, not ornamental",6,0,6,"Fantastically heat and salt tolerant, grows right out to the high tide line.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Chenille Plant,2,Acalypha hispida,"sun, partial sun",0,Chenille plant is a large tropical shrub or small tree that is widely grown as a summer annual accent or high light conservatory plant. Key ornamental features include large coarse textured dark glossy green leaves and long rope-like bright red flowers.,"Warm season annual, medium shrub, large shrub, small tree, tropical, interiorscape","Red, 6 inch to 2 ft long cattail-like spikes of tiny flowers.","Spring, summer, fall",Not ornamental.,54,0,8,Fairly easy to grown; susceptible to several insect pests; requires good drainage and a steady moisture supply.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Inland Sea Oats,2,Chasmanthium latifolium,"sun, partial sun, shade",0,"Inland Sea Oats derives its name from the resemblance of the fruit structure to the classic coastal grass, Sea Oats (Uniola paniculata). These handsome nodding panicles of flattened seed pods along with the dense clump of foliage are the primary ornamental assets. Plants grow equally well in sun or shade and make a useful groundcover for naturalizing.","Perennial, groundcover, grasses",Flattened seed spikelets in nodding panicles; green turning tan then brown.,Spring,Brown flattened spikelets.,18,7,10,Effectiveness in winter varies with weather conditions. Plants should be pruned to the ground prior to regrowth in the spring to maintain tidy plants.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Creosote Bush,2,Larrea tridentata,sun,0,Creosote Bush is a trademark plant of the Southwestern USA. This evergreen arid region shrub covers many acres of otherwise non-vegetated land. It forms an irregular spreading to upright rounded small to medium size mound. Scent from the fragrant yellow flowers permeates the air following rain events. Difficult to grown in Central and East Texas.,"Small shrub, medium shrub","Pale yellow, mildly attractive a close inspection, very fragrant","Spring, summer, fall","Indeshiscent capsules, mildly interesting",21,54,8,"Can exist on as little as 3 inch of rainfall per year; incredible drought and heat tolerance, can be used in protected locations in USDA zone 7. Some clonal groupings are reported to be among the oldest living organisms in the world.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
"Fiddleleaf Morning Glory, Railroad Vine, or Goat-Foot Morning Glory",2,Ipomoea pes-caprae,sun,0,"Fiddleleaf Morning Glories are ground-hugging vines important for dune stablization in Texas. Rapid spreading sparsely leaved groundcover on poor sandy soils. Sparser, more succulent foliage and pink to purple-pink flowers versus white flowers on I. stolonifera. Useful in dune restoration in coastal Texas landscapes.","Perennial, groundcover, tropical, vine","Pink to purple-white, funnel-shaped","Spring, summer, fall","Dehiscent capsule, not ornamental",6,0,6,Tough durable native vine with super heat and salt tolerance.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Sea Oats,2,Uniola paniculata,"sun, partial sun",0,"Sea Oats is a warm season semi-evergreen herbaceous perennial grass native to coasts of the Eastern US from Virginia to Texas. It plays a critical role in dune stabilization and also serves as an excellent ornamental for coastal landscapes. This erect grass bears showy one-sided panicles of seeds resembling oats, hence the common name of Sea Oats. Plants are very picturesque gently waving in a coastal breeze.","Perennial, grasses","Small flattened greenish spikelets, not particularly showy.","Spring, summer",Showy one-sided nodding seed heads resembling oats.,48,24,None,Extremely salt tolerant. One of the few plants to live right on the shore's edge.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Plumeria,2,Plumeria rubra,sun,0,Plumeria is a small to medium size tropical tree with a rounded crown of thick clubby stems. The coarse textured foliage and form contrast with the large showy terminal panicles of sweetly scented flowers. The flowers are the primary asset and this species is sometimes grown as a summer annual or container plant for the flowers. Trees tend to be rather open and gangly as young trees.,"Annual, shrub, large shrub, tree, small tree, medium tree, tropical","Very showy perfect salverform flowers in large dense terminal clusters; white, red, pink, yellow or multi-colored; strongly scented.","Spring, summer, fall",Pair of divergent pods; seldom produced in cultivation in our region.,132,270,None,Regular fertilization maintains a better foliage color; drought deciduous when stressed; cold intolerant; flowers are used in leis and perfume industry.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
London Planetree,2,Platanus x acerifolia,sun,0,"London Planetree is a large shade tree similar in useage and form to one of the parental species, the Sycamore (Platanus occidentalis). London Planetree is slightly smaller of stature, somewhat less cold hardy, but is resistant to anthracnose. It has light green under-bark compared to the white of sycamore and is not quite as attractive in that respect. Used for polarding.","Tree, medium tree, large tree, topiary","Green, not ornamental",Spring,Ball-like cluster of achenes,335,660,8,Prone to lethal canker stain and sycamore lace bug.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Northern Bayberry,2,Myrica pensylvanica,"sun, partial sun",0,"Myrica pensylvanica can be considered the northern counterpart to Myrica cerifera. Northern Bayberry  is somewhat smaller in habit, more cold hardy, and either deciduous or semievergreen compared to Southern Waxmyrtle. Northern Bayberry offers folks in North Texas an alternative to Southern Waxmyrtle which is marginally hardy there. Northern Bayberry forms an irregular rounded suckering mound.","Medium shrub, large shrub","Inconsequential, modtly dioecious",Spring,"Silver-gray waxy fragrant berries effective fall and winter, once used commercially as a scent for candles",72,72,5,Northern Bayberry can tolerate fairly adverse sites but tends to develop chlorosis on high pH soils and suffers from Texas summer heat.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Groundsel Tree or Eastern Baccharis,2,Baccharis halimifolia,sun,0,"Groundsel Tree is a deciduous to semi-evergreen medium shrub to small tree originally native to the coastal SE USA, but now more widespread in distribution. Shrubs are multiple stem with strongly upright branches forming a irregular upright oval to rounded crown of foliage. Plants are rather nondescript, tending to invade disturbed sites where it may become weedy. Clusters of small whitish fall flowers and showy white pappi on the female plants ar the primary asset. Off-season color in screens and hedges, naturalized plantings, and erosion control are the main uses.","Shrub, medium shrub, large shrub, tree, small tree","Whitish green, dioecious in small clusters, mildly interesting",Fall,"Small heads of achenes with silvery white pappi, showy en masse",102,114,None,"Near the northern edge of its range, it is sometiems grown as a subshrub or herbaceous perennial.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Mexican Elder,2,Sambucus mexicana,"sun, partial sun",0,"Mexican Elder is a West Texas native that reaches the size of a small tree. The pinnately compound leaves form a dense spreading canopy and the trunk is composed of thick gnarled branches, giving the effect of a large bonsai. This gnome-home look accounts for its popularity despite being rather short-lived. While evergreen or semi-evergreen in winter the plant may be drought deciduous. Creamy white flowers occur in late winter or early spring and are followed by blue-black berries that tend to have a cathartic effect on birds.","Shrub, large shrub, tree, small tree","Cyme-like clusters of creamy white flowers, peak late winter to early spring sporadically in summer","Spring, summer, winter","Blue-black berries, early summer to fall",100,270,8,"Tolerates a variety of soils as long as drainage is not poor; heat, drought, soil salt tolerant; slow fall acclimation predisposes plants grown in mesic environments to cold damage. Brittle branches, aphid infestations, tendency to sucker, and volunteer seedlings can all be drawbacks to its use.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Caricature Plant,2,Graptophyllum pictum,"sun, partial sun, shade",0,Caricature Plant is a medium-sized upright evergreen tropical shrub or herbaceous subtropical plant used as a summer annual or interiorscape plant. It is valued for the handsome coarse-textured variegated foliage and ability to retain its foliage color and density nearly equally well in full sun to moderate shade.,"Annual, perennial, shrub, small shrub, medium shrub, tropical, interiorscape","Perfect, tubular to narrowly trumpet-shapedred to purple-red flowers in small terminal or axillary racemes or panicles; not particularly ornamental.","Spring, summer",Small cylindrical woody capsules; not ornamental.,84,48,7,"Nematodes, spider mites, and thrips can be occasional pests; fertilize periodically to maximize vegetative growth.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Hedge Bamboo,2,Bambusa multiplex,"sun, partial sun",0,"Hedge Bamboo is perhap the most common of the clump-forming bamboos. Although spreading slowly via rhizomes, they do not spread aggressively like Phyllostachys spp. This species is useful to provide an Asian bamboo that does not possess as aggressive of tendencies as the ""running types"". Hedge Bamboo can make an effective evergreen screen.","Shrub, medium shrub, large shrub, tropical",Not ornamental.,"Spring, summer",Not ornamental.,150,108,None,A tough adaptable bamboo suitable for widespread use in our region; plants may need some cleanup pruning after cold winters.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Poinsettia,2,Euphorbia pulcherrima,"sun, partial sun",0,Poinsettia is a tropical shrub that is most commonly encourtered as a classic Christmas accent. The classic showy bracts are a sign,"Annual, perennial, shrub, small shrub, medium shrub, large shrub, tropical","Actual flowers are inconsequential, but the bracts are large and showy; bracts red, pink, splotchy, white or pale yellow.","Fall, winter",Small dehiscent three-valved capsule.,96,96,8,Highly cold sensitive and subject to chilling injury at temperatures much below 50F.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Austrian Pine,2,Pinus nigra,sun,0,"Austrian Pine is a medium to large stature coniferous tree introduced from Europe that has become a popular ornamental in the northeast and midwestern USA. The canopy of dark green needles is dense and stiffly pyramidal in youth becoming more flat-topped with age. In Texas, this plant should be reserved for use in the northern portions of the state, the Panhandle, and adjacent regions of Oklahoma and Arkansas.","Upright conifer, tree, medium tree, large tree",Not ornamental,Spring,Ovate woody cone,270,300,6,"One of the better adapted pines to salt and alkaline soils, but not particularly heat tolerant. Requires irrigation in Texas. Dothistroma needle and Diplodia tip blight can be serious limitations.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
"Golden Dewdrop, Brazilian Sky Flower",2,Duranta erecta (Duranta repens),"sun, partial sun",0,"Golden Dewdrop is an evergreen tropical shrubs (USDA zones 10-11), dieback shrub (z. 9), herbaceous perennial (z. 8b) or summer annual (z. 8a and cooler) depending upon the local environmental conditions. In the tropics this plant can grow to form a large shrub or small tree, while it serves as a 4 ft to 8 ft tall annual in cooler climates. Plants tend to develop wild branches, ala Thorny Elaeagnus, and may require periodic pruning to maintain a uniform shape. The primary assets of this heat tolerant plant are the arching to drooping clusters of small violet, blue, or white flowers which are followed by small teardrop-shaped golden yellow to orange-yellow fruit. Use with caution around small children as the fruit are considered to be poisonous.","Annual, perennial, shrub, small shrub, medium shrub, large shrub, tree, small tree, tropical","Terminal or axillary 6 inch to 8 inch long racemes of small trumpet-shaped monoecious flowers with five petals;  violet, lilac blue, pale blue, white or two-tone with white margins.","Spring, summer, fall",Elongated shpericla to teardrop-spaed 0.5 inch long drupe; golden yellow to yellow-orange at maturity; poisonous.,210,132,None,The yellow variegated foliage forms perform much better with partial shade than in full sun. Salt tolerance reports vary. Periodic fertilization will ensure vigorous growth.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Fremont Cottonwood,2,Populus fremontii,sun,0,"Fremont Cottonwood is a large deciduous shade tree found along West Texas water courses. The tree is similar in appearance to Eastern Cottonwood (Populus deltoides) and is sometimes classified as a western subspecies of that taxon. In general, the leaves are less deltoid and the bark much lighter in color than on Eastern Cottonwood. It suffers from the same landscape limitations as Eastern Cottonwood, but is very attractive in its native setting.",Large tree,"Female yellow-green, males purple-red",Spring,Capsules with cottony masses of seeds on female trees.,720,600,9,"Tolerant of a wide range of soils as long as its roots can find water; cold hardiness is uncertain, but at least to USDA zone 7, probably even colder regions; very heat tolerant.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Sugarcane,2,Saccharum officinarum,"sun, partial sun",0,"Sugarcane is a coarse textured slowly spreading clump forming grass with pithy segmented culms up to 2 inch in diameter that become nearly woody by season's end. Two to 4 ft long strap-like dark green leaves arch alternately from the culms. Culms are sometimes varieaged purple or yellow along with the usual green on ornamental selections. The strong coarse texuture and historical significance of this species add interest to summer gardens. This species makes an effective summer annual ornamental grass in USDA zones 8 and colder, becoming a marginal perennial in 8b, a herbaceous perennial in 9 and an evergren in the warmest portions of 9b to 11. This species is a major source of commercial sugar. It can form nearly impenetrable thickets in the tropics.","warm season annual, perennial, grasses, tropical","Not ornamental, only in subtropcial climates.","Spring, summer",Not often formed outside the subtropics.,84,60,None,Interesting as a novelty to stimulate conversation. Culture and harvest of this species can be backbreaking work.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Aleppo Pine,2,Pinus halepensis,sun,0,Aleppo Pine is a medium to large coniferous tree that is generally similar in appearance and usage to Pinus eldarica (Afghan Pine). Probably one of the best pines for use in USDA zone 8 and warmer portions of the southwestern USA deserts.,"Upright conifer, medium tree, large tree",Not ornamental,"Spring, winter",Woody cone,480,240,8,"Fairly soil adaptable as long as it is well drained. Not as cold hardy as Afghan Pine, but otherwise well adapted to arid conditions.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Pinyon Pine,2,Pinus cembroides,sun,0,"A highly variable species or group of four or five species of pines native to the western and southwestern USA, including the mountains of west Texas. While variable in form the habit is often oval to tear-drop shaped in youth spreading more with age. Most subtaxa are relatively slow growing with medium green to blue-green needles. Most are tolerant of cold, heat, drought, and limestone soils once established.","Shrub, large shrub, upright conifer, tree, small tree, medium tree",Not ornamental,Spring,Woody cone,135,180,7,Well adapted plants that are underutilized in much of the northern two-thirds of Texas. Barriers to clonal production have limited popularity of the various subtaxa. Best to use locally or regionally adapted provenances.,Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Canary Island Date Palm,2,Phoenix canariensis,sun,0,"Canary Island Date Palms are medium to large feather palms that are widely planted along the Texas Gulf Coast. Phoenix canariensis is more massive of trunk than the true Date Palm (Phoenix dactylifera), growing slowly to 60 tall. Requires even more room for crown spread than the Jelly Palm (Butia capitata).","Medium tree, large tree, tropical","Yellow, not particularly ornamental","Spring, summer","0.75 inch long date-like, edible but not palatable",240,210,8,"Tough durable palm limited primarily by cold tolerance to USDA zones 8b or 9a and warmer. Also, both P. canariensis and P. dactylifera are susecptible to lethal yellows. Bud rots and palmetto weevils can also cause problems.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
Blue Colorado Spruce,2,Picea pungens f. glauca,sun,0,"A medium size tree for use in the Texas Panhandle, but can develop into a large tree in more favorable regions of the country. Valued for its tolerance to adverse sites, its conical green to blue-green canopy, and formal appearance in youth. Tends to be difficult to tastefully work into many modern landscapes. Drooping of lower branches tend to lessen the formal effectiveness of this taxa in middle age.","Shrub, upright conifer, tree, medium tree, large tree","Staminate cones red-brown, females inconspicuous",Spring,Cylindrical tan resinous cones,360,150,6,"Tough tree, one of the few confirs suitable for use on the High Plains and Panhandle. Seldom useful elsewhere in the state. Provide protection from wind and irrigation during droughts. Spide mites, spruce budworm, spruce gall aphid, and Cytospora cancer can be troublesome.",Non-Defined Heat Tolerance,Non-Defined Water Use,Non-Defined Soil Requirements,Non-Defined Pest Resistance,Non-Defined Fertility Requirements
